workload,group,stage,n,p50_ms,p95_ms,raw_ms,calls
main,fresh,drawing.ingest,5,441.6658,448.13280000000003,"[441.6658, 448.5459, 437.6672, 430.4304, 446.4804]","[1, 1, 1, 1, 1]"
main,fresh,drawing.source_facts,5,8.5174,9.452580000000001,"[8.5174, 8.8525, 8.3575, 8.2064, 9.6026]","[1, 1, 1, 1, 1]"
main,fresh,native.checkpoint,5,6009.5252,6115.08924,"[6009.5252, 5981.7856, 5950.8359, 6132.6254, 6044.9446]","[1, 1, 1, 1, 1]"
main,fresh,native.close,5,1882.8316,1904.748,"[1855.9677, 1889.5764, 1882.8316, 1908.5409, 1873.6784]","[7, 7, 7, 7, 7]"
main,fresh,native.execute,5,22323.7553,22596.02018,"[22259.2041, 22226.5023, 22601.3322, 22574.7721, 22323.7553]","[1, 1, 1, 1, 1]"
main,fresh,native.feature_com,5,4227.6906,4250.7971,"[4207.0617, 4078.5443, 4251.7716, 4227.6906, 4246.8991]","[4, 4, 4, 4, 4]"
main,fresh,native.inspect,5,15295.670699999999,15779.16492,"[14300.604299999999, 15295.670699999999, 15845.9789, 15511.909, 15200.1807]","[3, 3, 3, 3, 3]"
main,fresh,native.open,5,7396.3431,7465.76016,"[7363.0118999999995, 7343.5386, 7396.3431, 7436.9403999999995, 7472.965099999999]","[5, 5, 5, 5, 5]"
main,fresh,native.projection,5,4158.5804,4200.1842400000005,"[4153.8943, 4200.0428, 4200.2196, 4134.3295, 4158.5804]","[1, 1, 1, 1, 1]"
main,fresh,native.rebuild,5,648.2529000000001,676.60728,"[647.0121, 631.9688, 648.2529000000001, 671.6487999999999, 677.8469]","[5, 5, 5, 5, 5]"
main,fresh,native.save,5,624.0466,691.5611999999999,"[624.0466, 625.6944, 708.0278999999999, 619.2052, 623.1064]","[3, 3, 3, 3, 3]"
main,fresh,native.section,5,2103.6975,2117.08052,"[2098.7263, 2112.5142, 2103.6975, 2118.2221, 2089.28]","[1, 1, 1, 1, 1]"
main,fresh,native.source_verification,5,503.467,513.88128,"[500.5068, 503.467, 515.9426, 503.4158, 505.63599999999997]","[3, 3, 3, 3, 3]"
